Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,ANTH*2660*01 (1162) Contemporary Indigenous People,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; LA; Room 204,T. McIlwraith,135  /  135,0.50,Undergraduate
Winter 2023,Open,ANTH*3550*01 (1163) Medical Anthropology,Guelph,LEC Mon; Wed 11:30AM - 12:50PM; ROZH; Room 108,TBA  TBA,30  /  30,0.50,Undergraduate
Winter 2023,Open,ANTH*3770*01 (1164) Kinship; Family ,Guelph,LEC Wed 07:00PM - 09:50PM; MINS; Room 017,R. Sylvain,45  /  45,0.50,Undergraduate
Winter 2023,Open,ANTH*3950*01 (1165) Special Projects in Anthro,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,ANTH*4700*01 (1166) Issues/ Contemp Anthrop Theory,Guelph,LEC Tues 02:30PM - 05:20PM; ROZH; Room 107,E. Finnis,20  /  20,0.50,Undergraduate
Winter 2023,Open,ANTH*4880*01 (1167) Special Proj,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,ANTH*4890*01 (1168) Special Proj,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,ANTH*4900*01 (1169) Honours Anthropology Thesis I,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,ANTH*4910*01 (1170) Honours Anthropology Thesis II,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,5  /  5,0.50,Undergraduate
Winter 2023,Open,ANTH*6140*01 (1171) Qualitative Research Methods,Guelph,LEC Mon 02:30PM - 05:20PM; MCKN; Room 059,E. Finnis,11  /  12,0.50,Graduate
Winter 2023,Open,ANTH*6270*01 (1172) Diversity ,Guelph,LEC Thur 02:30PM - 05:20PM; MCKN; Room 059,P. Garcia,3  /  3,0.50,Graduate
Winter 2023,Open,ANTH*6420*01 (1173) Enviro; Food and Communities,Guelph,LEC Wed 02:30PM - 05:20PM; MCKN; Room 119A,J. Varghese,4  /  4,0.50,Graduate
Winter 2023,Open,ANTH*6480*01 (1174) Work/Gender/Change: Global,Guelph,LEC Tues 02:30PM - 05:20PM; MCKN; Room 521,V. Shalla,1  /  2,0.50,Graduate
Winter 2023,Open,ANTH*6550*01 (1175) Topics in Theory ,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,TBA  TBA,5  /  5,0.50,Graduate
